"Open" "Closed"
"Acantholycosa_lignaria" 7 0
"Agroeca_proxima" 1 0
"Agyneta_affinis" 16 0
"Agyneta_conigera" 2 1
"Agyneta_rurestris" 6 0
"Agyneta_saxatilis" 2 0
"Alopecosa_taeniata" 325 55
"Amaurobius_fenestralis" 17 35
"Anguliphantes_tripartitus" 2 0
"Araneus_diadematus" 2 0
"Araneus_nordmanni" 0 1
"Asthenargus_paganus" 2 3
"Asthenargus_perforatus" 1 4
"Bolyphantes_alticeps" 4 1
"Callobius_claustrarius" 68 171
"Centromerus_arcanus" 0 1
"Centromerus_pabulator" 6 7
"Centromerus_sellarius" 0 4
"Ceratinella_brevipes" 1 1
"Clubiona_caerulescens" 0 2
"Clubiona_reclusa" 4 0
"Clubiona_subsultans" 1 0
"Clubiona_trivialis" 1 0
"Coelotes_terrestris" 237 502
"Cryphoeca_silvicola" 6 8
"Cybaeus_angustiarum" 50 24
"Diplocephalus_latifrons" 17 33
"Diplocephalus_picinus" 2 37
"Diplostyla_concolor" 1 1
"Drapetisca_socialis" 3 0
"Evarcha_falcata" 2 0
"Gibbaranea_omoeda" 1 0
"Gnaphosa_badia" 72 4
"Gnaphosa_montana" 2 0
"Gonatium_rubellum" 0 1
"Haplodrassus_signifer" 91 3
"Harpactea_lepida" 61 140
"Heliophanus_dampfi" 1 0
"Histopona_torpida" 30 28
"Inermocoelotes_inermis" 50 76
"Labulla_thoracica" 0 1
"Lathys_humilis" 1 0
"Lepthyphantes_minutus" 0 1
"Macrargus_rufus" 0 4
"Maro_lehtineni" 1 0
"Mermessus_trilobatus" 3 0
"Micaria_fulgens" 1 0
"Micaria_pulicaria" 2 0
"Micrargus_georgescuae" 1 2
"Micrommata_virescens" 4 0
"Microneta_viaria" 1 0
"Minicia_marginella" 1 0
"Minyriolus_pusillus" 1 0
"Nusoncus_nasutus" 1 1
"Oreoneta_tatrica" 0 1
"Pardosa_ferruginea" 37 10
"Pardosa_lugubris" 350 10
"Pardosa_palustris" 2 0
"Pardosa_pullata" 1 0
"Pardosa_riparia" 102 1
"Pardosa_sordidata" 6 0
"Philodromus_collinus" 1 0
"Piratula_hygrophila" 1 0
"Robertus_scoticus" 2 7
"Saloca_diceros" 0 2
"Sitticus_saxicola" 8 0
"Tapinocyba_affinis" 9 3
"Tenuiphantes_alacris" 9 34
"Tenuiphantes_tenebricola" 53 180
"Trochosa_terricola" 13 0
"Walckenaeria_antica" 2 0
"Walckenaeria_atrotibialis" 5 1
"Walckenaeria_cucullata" 3 6
"Walckenaeria_cuspidata" 1 1
"Walckenaeria_dysderoides" 1 0
"Xerolycosa_nemoralis" 29 0
"Xysticus_audax" 3 2
"Xysticus_luctuosus" 2 0
"Zelotes_clivicola" 2 0
"Zora_nemoralis" 1 0
"Zora_spinimana" 3 0
"Clubiona_pallidula" 0 1
"Xysticus_kochi" 1 0
"Alopecosa_pulverulenta" 1 0
"Walckenaeria_obtusa" 1 0
